"field","driveId","legacy0B","isFolder","url"
"videoUrl","12q9HhmA2-fVV1exlo3_cXYQd5comB-Ri","","","https://drive.google.com/file/d/12q9HhmA2-fVV1exlo3_cXYQd5comB-Ri/view"
"slideUrl","1gI4OmX4qJkz9PzTAC1oZZNWIRM8_Z5qI","","","https://drive.google.com/file/d/1gI4OmX4qJkz9PzTAC1oZZNWIRM8_Z5qI/view"
"videoUrl","1YNukLVwf5ddmmk75LLBW_QdUOTpfhV2o","","","https://drive.google.com/file/d/1YNukLVwf5ddmmk75LLBW_QdUOTpfhV2o/view"
"slideUrl","1xIBUHc41irfSnJ6hWlhcSESsoxxLHQzj","","","https://drive.google.com/file/d/1xIBUHc41irfSnJ6hWlhcSESsoxxLHQzj/view"
"videoUrl","11eFRpzAPYvtwTQ9-Vy6_eDvJn7unupDy","","","https://drive.google.com/file/d/11eFRpzAPYvtwTQ9-Vy6_eDvJn7unupDy/view"
"slideUrl","19lUzg9iGK56vvW_1MFvyqW3o3BBDsXwo","","","https://drive.google.com/file/d/19lUzg9iGK56vvW_1MFvyqW3o3BBDsXwo/view"
"videoUrl","1nVWuHTJYR2ZddpqWqoRMG2NS3sQ0VbZA","","","https://drive.google.com/file/d/1nVWuHTJYR2ZddpqWqoRMG2NS3sQ0VbZA/view"
"slideUrl","1CPjLsXnvjKYQiCeiWXUlDBCXmlHHgujh","","","https://drive.google.com/file/d/1CPjLsXnvjKYQiCeiWXUlDBCXmlHHgujh/view"
"videoUrl","1feiYkMsRxHwQqOP2As8Hn6K0x75fFraq","","","https://drive.google.com/file/d/1feiYkMsRxHwQqOP2As8Hn6K0x75fFraq/view"
"slideUrl","1pgp6HK5jnIdpEN6A47Eu8yiLxQ5LtC_J","","","https://drive.google.com/file/d/1pgp6HK5jnIdpEN6A47Eu8yiLxQ5LtC_J/view"
"videoUrl","1QsSoK-jWmnDRG4SyMjxW05vIQcUTRbT_","","","https://drive.google.com/file/d/1QsSoK-jWmnDRG4SyMjxW05vIQcUTRbT_/view"
"slideUrl","11CC9DdFmrBrLza1v-pinvg_5CsE_6QO0","","","https://drive.google.com/file/d/11CC9DdFmrBrLza1v-pinvg_5CsE_6QO0/view"
"videoUrl","1BEKEynVNoMdhzwVRA-WQT7Liz-TjzfaG","","","https://drive.google.com/file/d/1BEKEynVNoMdhzwVRA-WQT7Liz-TjzfaG/view"
"slideUrl","11KFNa0tqQ_TGrZGgd3gT8fnlhgfj--gy","","","https://drive.google.com/file/d/11KFNa0tqQ_TGrZGgd3gT8fnlhgfj--gy/view"
"videoUrl","1BLzrT1VnvawE-MowkVEuzZTxO9pXCURx","","","https://drive.google.com/file/d/1BLzrT1VnvawE-MowkVEuzZTxO9pXCURx/view"
"slideUrl","1EnCQSsiq6LEsYR4SbC5LzZKXCXL6P2rD","","","https://drive.google.com/file/d/1EnCQSsiq6LEsYR4SbC5LzZKXCXL6P2rD/view"
"videoUrl","1duXx2dyOSRc-mhmI5BlTqZwvXnFTDGUi","","","https://drive.google.com/file/d/1duXx2dyOSRc-mhmI5BlTqZwvXnFTDGUi/view"
"slideUrl","1f9L6r_2c0S6denOOSAdQTOnQDss8s6_8","","","https://drive.google.com/file/d/1f9L6r_2c0S6denOOSAdQTOnQDss8s6_8/view"
"videoUrl","1Crt7YhoZZd6LG6GFHnSsX1EMX5E3Xwl_","","","https://drive.google.com/file/d/1Crt7YhoZZd6LG6GFHnSsX1EMX5E3Xwl_/view"
"slideUrl","1K1VNjmwb4UOa1umhlaMafuBOeHCQWtnZ","","","https://drive.google.com/file/d/1K1VNjmwb4UOa1umhlaMafuBOeHCQWtnZ/view"
"videoUrl","1KBliyrpOoQAJM6MGx5-Gd8WnpsOVVRdA","","","https://drive.google.com/file/d/1KBliyrpOoQAJM6MGx5-Gd8WnpsOVVRdA/view"
"slideUrl","1YH4EgOzhydM2Zdm7P0t5LsAyfFOBUuhB","","","https://drive.google.com/file/d/1YH4EgOzhydM2Zdm7P0t5LsAyfFOBUuhB/view"
